Date,Clics,Impressions,CTR,Position
2026-03-01,0,1,0%,10
2026-03-02,0,1,0%,8
2026-03-03,1,1,100%,1
2026-03-04,0,3,0%,5
2026-03-05,0,1,0%,12
2026-03-06,0,3,0%,49.3
2026-03-07,0,0,,
2026-03-08,0,2,0%,71.5
2026-03-09,1,2,50%,23.5
2026-03-10,0,0,,
2026-03-11,0,1,0%,93
2026-03-12,0,0,,
2026-03-13,0,4,0%,28
2026-03-14,0,0,,
2026-03-15,0,2,0%,4.5
2026-03-16,0,3,0%,15
2026-03-17,0,2,0%,22.5
2026-03-18,0,7,0%,16.9
2026-03-19,0,6,0%,39.5
2026-03-20,1,9,11.11%,38.8
2026-03-21,1,10,10%,14.5
2026-03-22,0,1,0%,15
2026-03-23,0,0,,
2026-03-24,0,1,0%,100
2026-03-25,0,0,,
2026-03-26,0,0,,
2026-03-27,0,4,0%,3
2026-03-28,0,0,,
2026-03-29,0,3,0%,1
2026-03-30,2,7,28.57%,2.1
2026-03-31,0,6,0%,40
2026-04-01,0,5,0%,12.2
2026-04-02,0,1,0%,3
2026-04-03,0,0,,
2026-04-04,1,2,50%,16.5
2026-04-05,0,2,0%,9
2026-04-06,0,1,0%,6
2026-04-07,0,1,0%,4
2026-04-08,1,5,20%,39.6
2026-04-09,0,2,0%,3.5
2026-04-10,2,10,20%,3.8
2026-04-11,1,4,25%,8.2
2026-04-12,0,2,0%,3
2026-04-13,1,1,100%,1
2026-04-14,2,5,40%,5
2026-04-15,0,3,0%,39.3
2026-04-16,0,0,,
2026-04-17,0,1,0%,7
2026-04-18,0,1,0%,11
2026-04-19,0,4,0%,20.2
2026-04-20,0,2,0%,8
2026-04-21,1,2,50%,3
2026-04-22,0,0,,
2026-04-23,1,1,100%,1
2026-04-24,0,3,0%,28.3
2026-04-25,0,3,0%,14.3
2026-04-26,0,6,0%,8.3
2026-04-27,1,4,25%,1.8
2026-04-28,1,3,33.33%,4.3
2026-04-29,1,3,33.33%,5
2026-04-30,0,4,0%,12
2026-05-01,1,10,10%,21.7
2026-05-02,0,6,0%,31.7
2026-05-03,1,5,20%,8.4
2026-05-04,0,2,0%,45.5
2026-05-05,1,4,25%,10.8
2026-05-06,0,2,0%,7
2026-05-07,0,5,0%,8.4
2026-05-08,0,3,0%,21.7
2026-05-09,0,3,0%,7.3
2026-05-10,1,4,25%,4.2
2026-05-11,1,6,16.67%,6.3
2026-05-12,0,7,0%,6.4
2026-05-13,0,2,0%,13
2026-05-14,0,1,0%,11
2026-05-15,1,4,25%,8.2
2026-05-16,0,1,0%,15
2026-05-17,1,3,33.33%,7.7
2026-05-18,1,4,25%,8
2026-05-19,0,2,0%,9.5
2026-05-20,1,2,50%,5
2026-05-21,0,2,0%,40
2026-05-22,0,5,0%,8
2026-05-23,0,4,0%,21
2026-05-24,0,4,0%,23.5
2026-05-25,0,7,0%,9.6
2026-05-26,0,4,0%,26.8
2026-05-27,1,7,14.29%,18.9
2026-05-28,1,5,20%,10.6
2026-05-29,3,10,30%,6.3
